Transaction_ID,Customer_ID,Purchase_Date,Age,Gender,City,Employment,Monthly_Income,Purchase_Amount,Installments,Monthly_Installment,Remaining_Installments,Total_Remaining_Balance,Category,Store Name,Channel,Active_Contracts,DTI_Ratio,Delay_Days,Status,SIMAH_Status
TX00087,C0073,2024-07-18,46,Female,Jeddah,Employed,14087,3463,4,865.75,0,0,Furniture,Home Centre,Web,2,0.093,0,Paid on time,Not Reported
TX00088,C0277,2025-02-19,32,Male,Al Khobar,Employed,12973,714,4,178.5,0,0,Electronics,General Store,Web,2,0.048,0,Paid on time,Not Reported
TX00089,C0732,2024-11-19,38,Female,Jeddah,Employed,9348,292,4,73,0,0,Electronics,General Store,App,3,0.104,0,Paid on time,Not Reported
TX00090,C0526,2024-12-08,63,Female,Medina,Employed,24761,3961,4,990.25,0,0,Furniture,Home Centre,In-Store,3,0.076,0,Paid on time,Not Reported
TX00091,C0537,2025-02-02,57,Male,Al-Kharj,Self-employed,8310,2594,4,648.5,0,0,Electronics,General Store,App,6,0.349,0,Paid on time,Not Reported
TX00092,C0457,2025-06-22,62,Female,Riyadh,Self-employed,15579,2033,4,508.25,0,0,furniture,Abyat,App,2,0.062,0,Paid on time,Not Reported
TX00093,C0344,2025-08-19,35,Female,Al-Ahsa,Employed,17147,3973,4,993.25,0,0,Furniture,Midas,App,6,0.189,165,Late,Delayed (Reported)
TX00094,C0646,2025-01-10,39,Male,Riyadh,Employed,18320,3015,4,753.75,0,0,electronics,General Store,App,4,0.115,0,Paid on time,Not Reported
TX00095,C0135,2024-02-05,57,Male,Najran,Employed,15214,232,4,58,0,0,Furniture,Abyat,App,2,0.033,0,Paid on time,Not Reported
TX00096,C0278,2024-11-15,34,Female,Dhahran,Employed,12769,1326,4,331.5,0,0,Electronics,General Store,App,1,0.026,0,Paid on time,Not Reported
TX00097,C0287,2025-04-15,44,Male,Mecca,Self-employed,18023,3455,4,863.75,0,0,Beauty,Faces,App,3,0.098,0,Paid on time,Not Reported
TX00098,C0230,2025-06-13,57,Male,Jeddah,Employed,13454,2573,4,643.25,0,0,Electronics,General Store,App,2,0.081,0,Paid on time,Not Reported
TX00099,C0042,2025-08-06,45,Male,Jeddah,Employed,18390,353,4,88.25,0,0,Electronics,General Store,In-Store,7,0.152,150,Missed,Delayed (Reported)
TX00100,C0676,2024-04-01,42,Male,Al Khobar,Self-employed,15436,2731,4,682.75,0,0,Electronics,General Store,App,3,0.103,0,Paid on time,Not Reported
TX00101,C0694,2024-11-21,42,Female,Yanbu,Employed,13493,4411,4,1102.75,0,0,electronics,General Store,App,1,0.082,0,Paid on time,Not Reported
TX00102,C0109,2024-08-25,65,Male,Mecca,Employed,17115,4814,4,1203.5,0,0,Furniture,Midas,Web,3,0.123,0,Paid on time,Not Reported
TX00103,C0615,2024-03-26,18,Male,Riyadh,Student,7060,1851,4,462.75,0,0,Fashion,Mango,App,4,0.257,0,Paid on time,Not Reported
TX00104,C0228,2024-09-10,35,Female,Jeddah,Employed,16965,4647,4,1161.75,0,0,Furniture,IKEA,App,4,0.148,0,Paid on time,Not Reported
TX00105,C0124,2024-08-02,22,Female,Al-Ahsa,Student,17224,3488,4,872,0,0,Beauty,Sephora,In-Store,5,0.155,129,Late,Delayed (Reported)
TX00106,C0057,2024-12-13,28,Male,Mecca,Employed,4988,1001,4,250.25,0,0,Groceries,Othaim Markets,App,2,0.14,0,Paid on time,Not Reported
TX00107,C0276,2025-08-24,60,Male,Riyadh  ,Employed,16264,2385,4,596.25,0,0,Electronics,General Store,App,4,0.12,0,Paid on time,Not Reported
TX00108,C0516,2024-08-04,39,Male,Al Khobar,Unemployed,1623,488,3,122,0,0,Fashion,Herm�s,App,5,1.184,40,Missed,Delayed (Reported)
TX00109,C0218,2025-01-09,37,Female,Tabuk,Employed,12458,1723,3,430.75,0,0,Fashion,Centerpoint,Web,5,0.179,130,Late,Delayed (Reported)
TX00110,C0240,2025-09-24,52,Male,Mecca,Employed,24378,1490,4,372.5,0,0,Furniture,IKEA,App,4,0.071,0,Paid on time,Not Reported
TX00111,C0280,2025-03-18,19,Female,Jeddah,Student,17648,418,3,104.5,0,0,Dining,Albaik,App,3,0.057,0,Paid on time,Not Reported
TX00112,C0408,2025-04-03,59,Male,Tabuk,Employed,20941,365,4,91.25,0,0,Electronics,General Store,App,7,0.133,182,Missed,Defaulted (Blacklisted)
TX00113,C0713,2025-11-23,21,Female,Dhahran,Student,8744,2348,4,587,1,133.5,beauty,Nice One,In-Store,6,0.324,66,Late,Delayed (Reported)
TX00114,C0545,2025-07-15,50,Female,Al-Jubail,Employed,23156,1411,4,352.75,0,0,Electronics,General Store,App,7,0.132,86,Missed,Delayed (Reported)
TX00115,C0385,2025-09-24,64,Female,Mecca,Unemployed,1141,357,3,89.25,0,0,Electronics,General Store,App,3,0.867,97,Late,Delayed (Reported)
TX00116,C0169,2025-08-19,32,Female,Buraidah,Employed,19335,1938,4,484.5,0,0,Electronics,General Store,Web,4,0.095,0,Paid on time,Not Reported
TX00117,C0606,2025-04-12,50,Female,Mecca,Employed,23122,464,4,116,0,0,Electronics,General Store,App,3,0.044,0,Paid on time,Not Reported
TX00118,C0335,2024-06-10,57,Male,Jeddah,Employed,14288,1500,4,375,0,0,Fashion,Namshi,App,2,0.058,0,Paid on time,Not Reported
TX00119,C0340,2024-09-27,26,Male,RIYADH,Employed,14288,380,3,95,0,0,Electronics,General Store,Web,3,0.07,0,Paid on time,Not Reported
TX00120,C0287,2025-06-05,44,Male,Mecca,Self-employed,4216,729,4,182.25,0,0,Fashion,Centerpoint,App,3,0.257,0,Paid on time,Not Reported
TX00121,C0294,2025-08-01,56,Female,Jeddah,Employed,13905,3466,3,866.5,0,0,electronics,General Store,App,7,0.256,0,Paid on time,Not Reported
TX00122,C0306,2025-01-22,29,Female,Tabuk,Self-employed,19391,3793,4,948.25,0,0,Beauty,Nice One,App,7,0.188,0,Paid on time,Not Reported
TX00123,C0021,2025-08-23,18,Male,Mecca,Student,15391,1424,4,356,0,0,Fashion,Namshi,App,5,0.14,94,Missed,Delayed (Reported)
TX00124,C0628,2024-04-19,31,Female,Riyadh,Unemployed,1747,467,3,116.75,0,0,Fashion,Zara,App,5,1.097,69,Late,Delayed (Reported)
TX00125,C0014,2024-08-28,53,Female,Yanbu,Employed,15538,2423,4,605.75,0,0,Electronics,General Store,App,3,0.097,0,Paid on time,Not Reported
TX00126,C0673,2025-06-20,52,Male,Yanbu,Employed,17338,4900,4,1225,0,0,Travel,flynas,App,6,0.2,191,Late,Defaulted (Blacklisted)
TX00127,C0118,2025-04-15,56,Female,Riyadh  ,Employed,19740,4971,4,1242.75,0,0,Electronics,General Store,App,7,0.2,124,Missed,Delayed (Reported)
TX00128,C0497,2025-10-01,49,Male,Jeddah,Employed,14288,4592,4,1148,0,0,Electronics,General Store,Web,6,0.238,110,Late,Delayed (Reported)
TX00129,C0704,2025-10-26,62,Female,Dammam,Employed,16972,284,3,71,0,0,Dining,Kudu,App,6,0.137,163,Late,Delayed (Reported)
TX00130,C0767,2024-12-07,41,Female,Yanbu,Self-employed,9103,706,4,176.5,0,0,beauty,Nice One,App,5,0.217,57,Missed,Delayed (Reported)
TX00131,C0078,2025-04-07,44,Female,Jeddah,Employed,8623,1335,4,333.75,0,0,Electronics,General Store,App,5,0.247,135,Late,Delayed (Reported)
TX00132,C0070,2024-06-24,32,Female,Dammam,Employed,12418,1274,4,318.5,0,0,electronics,General Store,Web,5,0.171,104,Missed,Delayed (Reported)
TX00133,C0777,2024-08-27,53,Female,Yanbu,Employed,17831,270,4,67.5,0,0,electronics,General Store,App,5,0.105,121,Late,Delayed (Reported)
TX00134,C0144,2024-05-12,58,Male,Al-Jubail,Employed,24812,346,4,86.5,0,0,Electronics,General Store,App,2,0.022,0,Paid on time,Not Reported
TX00135,C0289,2025-04-28,58,Female,Riyadh_City,Employed,23882,4893,4,1223.25,0,0,Electronics,General Store,App,7,0.164,180,Missed,Delayed (Reported)
TX00136,C0251,2024-10-10,49,Male,Dhahran,Employed,15454,310,4,77.5,0,0,Travel,Saudia Airlines,App,2,0.034,0,Paid on time,Not Reported
TX00137,C0475,2024-08-07,25,Female,Medina,Employed,7974,1884,3,471,0,0,fashion,Namshi,App,3,0.172,0,Paid on time,Not Reported
TX00138,C0107,2025-04-27,63,Male,Al-Ahsa,Employed,18856,2185,4,546.25,0,0,Travel,Saudia Airlines,App,2,0.053,0,Paid on time,Not Reported
TX00139,C0020,2024-08-26,32,Male,Tabuk,Self-employed,8620,633,4,158.25,0,0,Electronics,General Store,In-Store,2,0.071,0,Paid on time,Not Reported
TX00140,C0465,2024-04-21,48,Female,Dhahran,Unemployed,2740,868,4,217,0,0,Fashion,Dior,App,4,0.572,0,Paid on time,Not Reported
TX00141,C0064,2025-06-14,63,Female,Jeddah,Employed,14253,1898,3,474.5,0,0,Electronics,General Store,App,6,0.191,202,Missed,Defaulted (Blacklisted)
TX00142,C0175,2024-11-19,41,Female,Abha,Self-employed,6503,641,3,160.25,0,0,beauty,Boots,App,1,0.025,0,Paid on time,Not Reported
TX00143,C0186,2025-04-01,34,Female,Jeddah,Employed,9980,3189,4,797.25,0,0,Electronics,General Store,Web,3,0.17,0,Paid on time,Not Reported
TX00144,C0339,2024-11-04,64,Female,Dammam,Self-employed,9187,974,4,243.5,0,0,Fashion,Herm�s,In-Store,1,0.027,0,Paid on time,Not Reported
TX00145,C0031,2024-02-12,63,Female,Buraidah,Self-employed,13200,1969,4,492.25,0,0,Electronics,General Store,Web,5,0.174,35,Missed,Delayed (Reported)
TX00146,C0747,2025-04-07,40,Male,Riyadh,Employed,9518,724,3,181,0,0,electronics,General Store,App,5,0.208,203,Late,Defaulted (Blacklisted)
TX00147,C0110,2024-11-08,55,Female,Jeddah,Employed,16593,3159,4,789.75,0,0,Furniture,Abyat,Web,1,0.048,0,Paid on time,Not Reported
TX00148,C0108,2024-06-11,43,Male,Najran,Self-employed,13082,2200,4,550,0,0,electronics,General Store,App,5,0.18,103,Missed,Delayed (Reported)
TX00149,C0545,2025-11-14,50,Female,Al-Jubail,Employed,16293,3913,4,978.25,1,791.25,Travel,Saudia Airlines,App,7,0.226,148,Late,Delayed (Reported)
TX00150,C0662,2025-11-28,46,Male,Jeddah,Employed,14755,338,4,84.5,1,447.5,electronics,General Store,App,2,0.036,0,Paid on time,Not Reported
TX00151,C0501,2024-01-18,42,Female,Riyadh,Employed,10815,2890,4,722.5,0,0,Electronics,General Store,Web,1,0.067,0,Paid on time,Not Reported
TX00152,C0498,2024-08-23,63,Male,Riyadh,Unemployed,1361,424,3,106,0,0,Fashion,H&M,App,1,0.078,0,Paid on time,Not Reported
TX00153,C0089,2024-02-26,47,Male,Al Khobar,Self-employed,16989,571,4,142.75,0,0,electronics,General Store,App,5,0.114,202,Missed,Defaulted (Blacklisted)
TX00154,C0444,2024-08-25,44,Male,Al Khobar,Employed,14489,4626,4,1156.5,0,0,beauty,Sephora,In-Store,5,0.204,103,Missed,Delayed (Reported)
TX00155,C0705,2024-09-13,59,Male,Dhahran,Employed,13016,1088,4,272,0,0,Furniture,Midas,Web,4,0.125,0,Paid on time,Not Reported
TX00156,C0688,2025-08-13,57,Female,Al Khobar,Employed,18686,1569,4,392.25,0,0,Electronics,General Store,Web,4,0.093,0,Paid on time,Not Reported
TX00157,C0100,2025-04-21,58,Female,riyadh,Employed,21737,837,4,209.25,0,0,Electronics,General Store,App,5,0.092,195,Missed,Defaulted (Blacklisted)
TX00158,C0747,2025-11-10,40,Male,Riyadh,Employed,17126,3769,4,942.25,1,283.75,electronics,General Store,Web,5,0.16,184,Late,Defaulted (Blacklisted)
TX00159,C0342,2025-11,53,Female,Jeddah,Employed,19789,4332,4,1083,1,746.25,Electronics,General Store,App,3,0.1,0,Paid on time,Not Reported
TX00160,C0507,2025-04-01,43,Female,Hail,Self-employed,16457,471,4,117.75,0,0,Furniture,IKEA,Web,7,0.171,0,Paid on time,Not Reported
TX00161,C0145,2024-08-19,64,Female,Jazan,Self-employed,7930,1330,4,332.5,0,0,Electronics,General Store,App,3,0.155,0,Paid on time,Not Reported
TX00162,C0297,2024-04-13,64,Male,Hail,Employed,17601,4087,4,1021.75,0,0,Electronics,General Store,App,2,0.084,0,Paid on time,Not Reported
TX00163,C0038,2024-08-06,46,Female,Buraidah,Employed,22992,4884,3,1221,0,0,Electronics,General Store,App,3,0.092,0,Paid on time,Not Reported
TX00164,C0432,2024-07-16,58,Male,Mecca,Employed,21813,1490,4,372.5,0,0,Electronics,General Store,In-Store,5,0.1,0,Paid on time,Not Reported
TX00165,C0206,2025-11-19,40,Female,Mecca,Employed,18120,4231,4,1057.75,1,235.25,Travel,Saudia Airlines,App,5,0.158,124,Missed,Delayed (Reported)
TX00166,C0417,2025-04-17,18,Female,Jeddah,Student,18576,4405,4,1101.25,0,0,Beauty,Nice One,App,3,0.108,0,Paid on time,Not Reported
TX00167,C0727,2025-08-19,34,Female,Jeddah,Employed,19312,1445,4,361.25,0,0,electronics,General Store,App,5,0.112,0,Paid on time,Not Reported
TX00168,C0312,2024-06-21,61,Male,Tabuk,Employed,20066,2056,4,514,0,0,Electronics,General Store,App,4,0.093,0,Paid on time,Not Reported
TX00169,C0530,2025-11-16,26,Female,Al Khobar,Employed,10160,3007,4,751.75,1,217.25,Electronics,General Store,Web,7,0.34,158,Late,Delayed (Reported)
TX00170,C0056,2025-04-17,18,Female,Jeddah,Employed,5630,1261,4,315.25,0,0,Electronics,General Store,In-Store,5,0.376,85,Missed,Delayed (Reported)
TX00171,C0298,2024-11-08,56,Female,Jeddah,Employed,22020,3877,4,969.25,0,0,Electronics,General Store,App,1,0.044,0,Paid on time,Not Reported
TX00172,C0797,2024-05-08,39,Female,riyadh,Employed,11509,667,4,166.75,0,0,fashion,Fendi,App,1,0.014,0,Paid on time,Not Reported
